"latitude","longitude","time","duree","distance"
48.86998,2.27407,1268239626,60,12.2200564559312
48.86997,2.27397,1268292097,6,0.134237712507197
48.88631,2.31268,1268293310,60,85.6258796016611
48.88557,2.31198,1268293369,59,96.8883880282156
48.88633,2.31259,1268343351,51,21.2172036502758
48.88644,2.31263,1268343410,59,12.5739971604405
48.88623,2.31308,1268343470,60,40.3401635900961
48.88625,2.31314,1268343529,59,4.91848883743068
48.88632,2.31312,1268343588,59,7.9188873484791
48.88602,2.31346,1268343647,59,41.596366275856
48.88643,2.31329,1268343707,60,47.2465262007824
48.88636,2.31334,1268343766,59,8.59802765704063
48.88631,2.31282,1268343831,65,38.4189646490915
48.88637,2.31308,1268343891,60,20.1441568038296
48.88646,2.31312,1268343951,60,10.424835414636
48.88624,2.31329,1268344010,59,27.4354431247965
48.88642,2.31288,1268344070,60,36.0397634584368
48.88631,2.31292,1268344129,59,12.5739971604405
48.88641,2.31286,1268344189,60,11.9520573468576
48.8862,2.31297,1268344248,59,24.6935371240219
48.88629,2.31324,1268344308,60,22.1296884643734
48.88636,2.31315,1268344366,58,10.1910208859034
48.84132,2.32127,1269978947,60,51.3752647005377
48.83753,2.31883,1269979246,60,67.4692417758377
48.83546,2.31713,1269979426,60,57.6083141227071
48.83475,2.31744,1269979495,69,82.1312686072879
48.8335,2.31678,1269979615,60,79.0949516658047
48.83319,2.31586,1269979675,60,75.636727210284
48.83619,2.32504,1270043604,9,0
48.8367,2.26693,1270043731,56,0
48.84716,2.26453,1270053357,56,0
48.84636,2.26432,1270053581,70,0
48.84497,2.26397,1270053962,68,0.0949203968048096
48.84497,2.26397,1270054123,50,0.0949203968048096
48.84497,2.26397,1270054186,63,0.0949203968048096
48.84497,2.26397,1270054361,28,0.0949203968048096
48.84497,2.26397,1270054423,62,0.0949203968048096
48.84497,2.26397,1270054480,57,0.0949203968048096
48.84497,2.26397,1270054543,63,0.0949203968048096
48.84497,2.26397,1270054601,58,0.0949203968048096
48.84497,2.26397,1270054664,63,0.0949203968048096
48.83206,2.31691,1270070558,25,38.1458373772769
48.83206,2.31691,1270070856,57,0
48.83206,2.31691,1270070915,59,0
48.83206,2.31691,1270071759,62,0
48.83206,2.31691,1270071813,54,0
48.83206,2.31691,1270071881,68,0
48.83206,2.31691,1270071939,58,0
48.83206,2.31691,1270071998,59,0
48.83206,2.31691,1270072057,59,0
48.83247,2.31605,1270072294,52,77.7113468353378
48.83206,2.31691,1270072356,62,77.7113468353378
48.83206,2.31691,1270072417,61,0
48.83206,2.31691,1270072476,59,0
48.83206,2.31691,1270072542,66,0
48.83206,2.31691,1270072596,54,0
